id,e_code,title,info,e_type,halal_status
1,E100,Curcumin / Turmeric,"Curcumin is the main yellow-orange pigment of turmeric powder.(Curcuma longa or saffron from India). It can be isolated by steam distillation, or extracted by chemical extraction solvents. 
 It is used as a natural coloring agent in food products, and can also be produced artificially. It is used in pastries, confectionery, sauces and soups.",Coloring,Halal
2,E1000,Cholic acid,"Part of the bile of vertebrates, colic acid is one of the two main bile acids produced by the liver, where it is synthesized from cholesterol. 
 Extract of cow bile, can be produced synthetically. Colorless plates or a white crystalline powder. 
 There are no known side effects to date. It is also used in the manufacture of pharmaceutical products.",Emulsifier,Doubtful
3,E1001,Choline salts and esters,"Choline is an essential nutrient generally classified in the class of vitamins B. Choline is widely present in the diet. 
 The reason for the use of this additive is an agent that forms or preserves a mixture of substances normally incapable of mixing, for example: oil and water. 
 There is no known secondary effect.  This additive seems to be widely used in baby foods.",Emulsifier,Doubtful
4,E101,Riboflavin (Vitamin B2),"Natural riboflavin is the vitamin B2 found in wheat bran, eggs, meat and milk, among other things. They are used as natural coloring agents in food products. 
 These dyes are naturally produced in the liver, kidney, eggs, milk and vegetables. They can also be prepared industrially by the synthesis of certain yeasts. E101 gives food a yellow color, but its use is limited by its low solubility.",Coloring,Doubtful
5,E101a,Riboflavin-5'-Phosphate,Yellow-orange,Yellow-orange,Doubtful
6,E102,Tartrazine,"E102 gives a yellow color to food products and is soluble in water. 
 It is used in desserts, cookies, bread, flour, sauces, mayonnaises, soups, juices, soft drinks, liquors, alcoholic beverages, cheeses, canned seafood, fish products, canned vegetables, pickles, pasta, chips, snack, sweets and candies.",Coloring,Halal
7,E103,Alkannin,"It is strong yellow. It is obtained derived from petroleum. Belongs to the group of azo dyes. It is used in pastry and ice cream production. 
 In small doses can cause problems of hyperactivity in children by the consumption of the dye.",Coloring,Doubtful
8,E104,Quinoline Yellow,"E104 additive is used to give yellow and orange colors.  Since it is a synthetic substance, it is a harmful substance, ie carcinogen. It is more harmful to children than adults. While hyperactivity has side effects in children, it can cause side effects such as skin shedding and asthma in older age groups. Although its effect is temporary in adults, it may be permanent in children. 
 It is an artificial petrochemical compound, yellow or green. E104 is highly soluble in water. It is also used in cosmetics such as hair products, lipsticks and perfumes, as well as in a wide variety of foods. It is potentially carcinogenic, including its production residues and is also neurotoxic.",Coloring,Halal
9,E105,Fast Yellow AB,Yellow,Yellow,Doubtful
10,E106,Riboflavin-5-Sodium Phosphate,Yellow,Yellow,Doubtful
